MQ2,MQ3,MQ4,MQ6,MQ7,MQ8,MQ135,target
0.87015,0.7399,1.6268,0.55852,1.16829,2.15219,1.26904,healthy
0.87165,0.7399,1.63017,0.55927,1.17179,2.14882,1.26829,healthy
0.87203,0.7399,1.62805,0.55839,1.17166,2.14619,1.26666,healthy
0.87478,0.7404,1.6303,0.55889,1.17266,2.14782,1.26841,healthy
0.8749,0.7394,1.63017,0.55764,1.17429,2.14919,1.26716,healthy
0.87315,0.7389,1.6303,0.55902,1.17416,2.14644,1.26579,healthy
0.8769,0.73915,1.63017,0.55827,1.17504,2.14769,1.26616,healthy
0.87703,0.73727,1.62942,0.55889,1.17241,2.14257,1.26179,healthy
0.87678,0.73752,1.6298,0.55852,1.17479,2.14632,1.26591,healthy-test
0.87753,0.73677,1.63105,0.55814,1.17479,2.14532,1.26379,healthy
0.87803,0.73727,1.6338,0.55914,1.17541,2.14444,1.26354,healthy
0.87578,0.7344,1.62742,0.55752,1.17541,2.13807,1.26091,healthy
0.87765,0.7344,1.6308,0.55927,1.17704,2.14319,1.26279,healthy
0.8769,0.73465,1.63167,0.55864,1.17504,2.14119,1.26216,healthy
0.8774,0.73352,1.6293,0.55827,1.17516,2.14069,1.26166,healthy
0.87703,0.73302,1.63092,0.55764,1.17641,2.14082,1.26141,healthy-test
0.87715,0.73265,1.6313,0.55827,1.17691,2.13469,1.26216,healthy
0.87603,0.7324,1.63142,0.55877,1.17504,2.14007,1.26054,healthy
0.87603,0.73127,1.63005,0.55802,1.17541,2.13969,1.26004,healthy
0.87578,0.73202,1.6283,0.55852,1.17654,2.14044,1.25904,healthy
0.8739,0.73052,1.63242,0.55764,1.17629,2.14007,1.25991,healthy
0.87478,0.73015,1.63042,0.55814,1.17766,2.13682,1.25954,healthy
0.87415,0.7304,1.63192,0.55839,1.17629,2.13894,1.25854,healthy-test
0.87378,0.72865,1.62955,0.55877,1.17754,2.14019,1.25866,healthy
0.8729,0.7274,1.62755,0.55789,1.17654,2.13794,1.25829,healthy
0.8724,0.72815,1.62955,0.55852,1.17804,2.13719,1.25829,healthy
0.87253,0.72752,1.63067,0.55902,1.17704,2.13594,1.25716,healthy
0.87153,0.72552,1.6303,0.55789,1.17466,2.13632,1.25679,healthy
0.86965,0.7269,1.62905,0.55927,1.17566,2.13669,1.25729,healthy
0.87103,0.72615,1.6288,0.55877,1.17766,2.13457,1.25704,healthy
0.86915,0.72602,1.6303,0.55764,1.17729,2.13557,1.25541,healthy
