MQ2,MQ3,MQ4,MQ6,MQ7,MQ8,MQ135
1.99594,1.23616,1.6268,0.57027,1.25291,2.36595,1.37092
1.99456,1.23679,1.62767,0.56889,1.24804,2.37845,1.37204
1.99256,1.23579,1.6263,0.56864,1.24541,2.36107,1.36654
1.99794,1.22129,1.62792,0.56827,1.24604,2.3712,1.36729
2.00119,1.23541,1.62717,0.56802,1.25266,2.38582,1.37367
1.98906,1.22479,1.62292,0.56827,1.24479,2.37007,1.36917
1.98319,1.22741,1.62242,0.56864,1.24729,2.3687,1.36429
1.98831,1.22779,1.61767,0.56839,1.24216,2.3707,1.36667
1.99044,1.22879,1.6203,0.56827,1.23904,2.36382,1.36417
1.98244,1.22429,1.61355,0.56852,1.24054,2.3637,1.36204
1.98444,1.22104,1.60917,0.56802,1.23641,2.35982,1.35504
1.97819,1.22266,1.6103,0.56839,1.23241,2.34982,1.35254
1.97406,1.21979,1.60855,0.56814,1.23454,2.34707,1.35129
1.96844,1.21366,1.5988,0.56852,1.22904,2.34432,1.34542
1.96819,1.21204,1.60005,0.56864,1.22954,2.34032,1.34642
1.96681,1.20891,1.5958,0.56852,1.22591,2.34295,1.34592
1.97056,1.20629,1.59342,0.56839,1.22029,2.33907,1.34554
1.96606,1.20004,1.59267,0.56839,1.22229,2.33332,1.34479
1.96043,1.20229,1.58755,0.56814,1.21854,2.3342,1.33717
1.96543,1.20779,1.59717,0.56789,1.22104,2.33057,1.33929
1.96043,1.20029,1.58717,0.56827,1.21854,2.33345,1.33829
1.97106,1.20579,1.5873,0.56827,1.22616,2.34282,1.34329
1.98756,1.21529,1.6008,0.56802,1.22429,2.34295,1.34379
1.96281,1.20629,1.57492,0.56902,1.21054,2.30482,1.32179
1.96068,1.20291,1.58792,0.56864,1.22116,2.33245,1.33867
1.96256,1.20016,1.59092,0.56839,1.21679,2.32882,1.34054
1.97119,1.20654,1.5973,0.56814,1.22179,2.33595,1.34242
1.96381,1.19904,1.59105,0.56777,1.22354,2.33557,1.34117
1.96769,1.20604,1.59755,0.56802,1.22529,2.33345,1.33954
1.96568,1.20029,1.58942,0.56777,1.21566,2.3252,1.33779
1.96869,1.20216,1.5938,0.56739,1.22616,2.3357,1.34154
1.96981,1.20291,1.59705,0.56777,1.22079,2.33095,1.33754
1.96694,1.20166,1.5933,0.56764,1.22091,2.32607,1.33554
1.96168,1.19679,1.58805,0.56789,1.21179,2.30532,1.33092
1.95681,1.19379,1.58367,0.56777,1.21491,2.32332,1.33042
1.96681,1.19429,1.58555,0.56739,1.21691,2.33282,1.33579
1.96443,1.19404,1.58417,0.56802,1.21391,2.32907,1.33417
1.94881,1.18979,1.57892,0.56814,1.20491,2.29607,1.32792
1.97019,1.19954,1.5948,0.56764,1.21616,2.33157,1.33804
1.96443,1.20054,1.59255,0.56764,1.21866,2.32457,1.32529
1.95018,1.18929,1.57742,0.56777,1.21441,2.32332,1.32929
1.96068,1.19316,1.58555,0.56802,1.21916,2.3297,1.33354
1.96318,1.19991,1.59342,0.56814,1.22116,2.32307,1.33679
1.96456,1.19779,1.59067,0.56777,1.22266,2.33157,1.33692
1.96393,1.20129,1.59505,0.56789,1.22266,2.32882,1.33692
1.96531,1.19729,1.58905,0.56739,1.21941,2.33457,1.34042
1.98244,1.20516,1.5988,0.56727,1.22566,2.34732,1.34904
1.97844,1.20679,1.6023,0.56739,1.22416,2.3147,1.33929
1.95668,1.19054,1.58042,0.56789,1.22079,2.3242,1.33704
1.96806,1.20416,1.59617,0.56752,1.22129,2.32957,1.33892
1.97131,1.20529,1.59855,0.56777,1.22866,2.33782,1.34854
1.97806,1.20854,1.60417,0.56739,1.22854,2.3487,1.34829
1.97556,1.20879,1.60367,0.56739,1.23179,2.34232,1.34729
1.97431,1.20854,1.60317,0.56727,1.23291,2.35207,1.35092
1.96644,1.20504,1.59755,0.56777,1.22591,2.33107,1.34104
1.97094,1.20654,1.59817,0.56777,1.21754,2.33257,1.34104
1.95856,1.19766,1.58417,0.56752,1.20716,2.31307,1.33079
1.96418,1.20116,1.59355,0.56789,1.21479,2.32857,1.33767
1.95593,1.19566,1.58755,0.56752,1.21441,2.31282,1.33129
1.95031,1.19466,1.58105,0.56777,1.21016,2.31645,1.33054
1.96331,1.19816,1.59142,0.56727,1.21241,2.3292,1.33654
1.96719,1.20066,1.59155,0.56739,1.21416,2.32932,1.33404
1.96506,1.20054,1.5933,0.56814,1.21404,2.32307,1.33754
1.96931,1.20266,1.59592,0.56764,1.21529,2.3317,1.33754
1.96881,1.19766,1.59067,0.56752,1.21829,2.33032,1.33817
1.96719,1.19854,1.5898,0.56764,1.21579,2.3302,1.33342
1.96106,1.20066,1.59355,0.56702,1.21304,2.32082,1.33267
1.96256,1.19916,1.59255,0.56727,1.21591,2.32057,1.33192
1.95843,1.19879,1.59317,0.56777,1.21179,2.31782,1.33504
1.96268,1.20054,1.59367,0.56727,1.21629,2.32095,1.33304
1.95881,1.20054,1.59292,0.56714,1.21254,2.3197,1.33629
1.95718,1.19579,1.58792,0.56727,1.21479,2.31857,1.33529
1.95706,1.19616,1.58717,0.56802,1.21454,2.3237,1.33479
1.95406,1.19754,1.5908,0.56727,1.21354,2.3212,1.32967
1.95268,1.19454,1.58642,0.56739,1.21141,2.3107,1.32779
1.93068,1.18216,1.57317,0.56777,1.19716,2.29882,1.31829
1.94543,1.18654,1.58042,0.56752,1.20266,2.31432,1.32792
1.94893,1.18941,1.57842,0.56739,1.20866,2.30945,1.32504
1.94943,1.19391,1.58567,0.56727,1.20641,2.31057,1.32579
1.94943,1.19191,1.5843,0.56752,1.20916,2.30957,1.32742
1.95931,1.19304,1.58455,0.56727,1.20666,2.31807,1.33129
1.95706,1.19216,1.58417,0.56752,1.20704,2.31995,1.33042
1.96018,1.19266,1.58292,0.56739,1.21004,2.3207,1.32792
1.95868,1.19216,1.58405,0.56739,1.21091,2.3192,1.32729
1.95518,1.17766,1.58442,0.56802,1.20416,2.31357,1.32767
1.96268,1.19879,1.5918,0.56702,1.20904,2.3187,1.33417
1.94643,1.19679,1.58992,0.56727,1.21591,2.32207,1.33329
1.96256,1.20029,1.59342,0.56714,1.21766,2.33032,1.33592
1.97031,1.20654,1.60155,0.56727,1.22354,2.33195,1.34004
