MQ2,MQ3,MQ4,MQ6,MQ7,MQ8,MQ135
0.59539,0.94203,0.95978,0.54814,0.66902,1.62955,1.09416
0.59502,0.9434,0.9609,0.54852,0.66965,1.6308,1.09541
0.59577,0.9404,0.96103,0.54864,0.6664,1.63317,1.09516
0.59077,0.92853,0.95415,0.54877,0.66177,1.62867,1.08166
0.59039,0.94065,0.96253,0.54839,0.66302,1.63767,1.09603
0.58852,0.94003,0.96403,0.54852,0.66527,1.64193,1.09878
0.58477,0.94065,0.96578,0.54814,0.66902,1.64593,1.09978
0.58327,0.93915,0.96715,0.54864,0.6719,1.64968,1.10178
0.58114,0.93753,0.97128,0.54814,0.67815,1.65518,1.10428
0.57689,0.93603,0.97415,0.54864,0.68415,1.65718,1.10453
0.57627,0.9349,0.97603,0.54877,0.6914,1.66243,1.10753
0.57389,0.93253,0.9794,0.54864,0.69765,1.66418,1.10991
0.57277,0.93115,0.98178,0.54877,0.7049,1.66868,1.11203
0.57102,0.92915,0.98453,0.54839,0.71315,1.67193,1.11316
0.57014,0.92853,0.98841,0.54852,0.71877,1.67543,1.11603
0.56902,0.92615,0.99128,0.54839,0.72665,1.67855,1.11778
0.56789,0.92428,0.99353,0.54864,0.73365,1.6803,1.11866
0.56714,0.9234,0.99703,0.54852,0.73927,1.68393,1.12141
0.56614,0.92153,0.99378,0.54814,0.74702,1.68593,1.12241
0.56539,0.92053,1.00378,0.54914,0.75302,1.68718,1.12428
0.56539,0.9189,1.00691,0.54864,0.75877,1.6813,1.12641
0.56514,0.91778,1.00941,0.54889,0.7644,1.6923,1.12666
0.56414,0.91628,1.01203,0.54852,0.7694,1.69168,1.12853
0.56452,0.91553,1.01366,0.54839,0.7744,1.69355,1.13041
0.56414,0.91465,1.01666,0.54852,0.77877,1.69643,1.13178
0.56339,0.91328,1.01691,0.54864,0.78315,1.69543,1.13216
0.56352,0.9124,1.02103,0.54864,0.78727,1.6978,1.13216
0.56239,0.91028,1.02191,0.54839,0.79115,1.69743,1.13353
0.56314,0.91015,1.02366,0.54877,0.79377,1.6993,1.13516
0.56264,0.90815,1.02591,0.54839,0.79627,1.69943,1.13603
0.55852,0.9064,1.02566,0.54864,0.80002,1.69805,1.13553
0.56252,0.9064,1.02941,0.54877,0.80165,1.69943,1.13653
0.56202,0.90503,1.03041,0.54827,0.80402,1.70005,1.13728
0.56202,0.90478,1.03241,0.54852,0.80627,1.69893,1.13728
0.56214,0.90378,1.03303,0.54914,0.80877,1.70005,1.13803
0.56152,0.90203,1.03366,0.54877,0.8109,1.69905,1.13741
0.56189,0.90153,1.03441,0.54839,0.81227,1.70055,1.13791
0.56189,0.90003,1.03678,0.54877,0.81327,1.6983,1.13903
0.56164,0.89915,1.03691,0.54877,0.8159,1.6973,1.13766
0.56164,0.89815,1.03778,0.54914,0.8149,1.70055,1.13903
0.56189,0.8974,1.03853,0.54852,0.81827,1.70055,1.13841
0.56139,0.8964,1.03991,0.54864,0.81978,1.70055,1.13828
0.56164,0.89653,1.04178,0.54852,0.82053,1.70043,1.14003
0.56152,0.8954,1.04253,0.54889,0.82153,1.69855,1.13941
0.56189,0.89478,1.04291,0.54889,0.8229,1.7003,1.14128
0.56139,0.89428,1.04353,0.54889,0.82403,1.70105,1.14041
0.56227,0.89415,1.04528,0.54877,0.8244,1.70043,1.14028
